Okt;Nov;Dec;Jan;Feb;March;Apr;May;June;July;Aug;Sep;Mejveg;Veg
245.8360352;208.8375341;181.5779129;168.2061723;146.5830511;207.0017927;520.2544989;1048.853506;1346.704639;1043.80096;592.7828622;336.3398784;1158.042498;4888.736344
253.6384026;215.4656395;187.3408499;172.4620387;150.2554084;212.2392461;533.4177117;1075.39106;1380.77827;1070.210677;607.7811506;344.8497777;1191.401585;5012.428647
260.0558315;220.9172408;192.0808521;171.4443578;149.3687665;210.9868439;530.2700683;1069.045287;1372.630438;1063.895473;604.1946961;342.8148544;1204.853893;4982.850818
258.5212686;219.6136307;190.9474026;154.705262;134.7850373;190.3869884;478.4967606;964.6682655;1238.612657;960.021257;545.2037031;309.3438742;1148.95959;4496.346517
233.2803547;198.1714925;172.3041127;135.6561153;118.2173461;166.9442844;419.5785643;845.8868674;1086.099976;841.8120537;478.0717569;271.2537875;1024.573706;3942.703006
204.5561106;173.770268;151.0879868;102.7684448;89.5357306;126.4712942;317.8584056;640.8150317;822.7922877;637.7280919;362.1708527;205.4926151;848.189835;2986.857285
154.9647306;131.6424265;114.4591041;133.0967871;115.958922;163.7946643;411.6626715;829.9281165;1065.609294;825.9301794;469.0523142;266.1362336;813.9166346;3868.318809
200.6968948;170.4918669;148.2375163;161.1053978;140.361076;198.2632724;498.2921068;1004.576461;1289.853895;999.7372065;567.7587065;322.1413884;1019.156024;4682.359764
242.9311314;206.3698204;179.4323105;164.3048606;143.1832581;202.2006698;508.1879086;1024.526786;1315.46967;1019.591427;579.0340759;328.5389357;1138.422051;4775.348803
247.7556074;210.4682092;182.9957355;301.617964;262.7809035;371.1841154;932.8914663;1880.745841;2414.835946;1871.685896;1062.945298;603.1059856;1576.802535;8766.210434
454.8102934;386.3610153;335.9292049;193.5223455;168.603939;238.1569707;598.5563401;1206.713094;1549.392848;1200.900105;682.0007155;386.9613181;1777.383769;5624.524421
291.8127076;247.894684;215.5369222;187.9365965;163.7374245;231.2829063;581.2798572;1171.883026;1504.671813;1166.23782;662.3157286;375.7922265;1338.201241;5462.180472
283.3899462;240.7395543;209.3157535;198.9205315;173.3490397;244.8002119;615.2526985;1240.373608;1592.612202;1234.39847;701.0247031;397.7553644;1350.515037;5781.417046
299.9526424;254.8095527;221.5491912;157.3248922;137.0673576;193.6108187;486.5991649;981.0030307;1259.586133;976.2773343;554.4356586;314.5820061;1264.314455;4572.483328
237.2305;201.5271381;175.2217449;147.8571111;128.8186709;181.9593576;457.3157226;921.9664608;1183.784487;917.5251559;521.0698294;295.6505227;1072.614523;4297.312178
222.954015;189.3992745;164.6769347;126.3641193;110.0931688;155.5091521;390.838818;787.9464098;1011.705714;784.1507074;445.3254199;252.6737987;968.9966644;3672.640868
190.5446924;161.8675784;140.7389585;196.4564567;171.2017249;241.7678149;607.6314206;1225.008813;1572.884145;1219.107689;692.3409475;392.8282764;1102.577226;5709.801292
296.2370594;251.6531677;218.8048099;186.2620342;162.2784829;229.2221175;576.1005076;1161.441253;1491.264809;1155.846348;656.414329;372.4438233;1344.457672;5413.511071
280.8648705;238.5945044;207.4506976;185.6670341;161.7600965;228.4898847;574.2601979;1157.731117;1486.501076;1152.154084;654.3174629;371.2540795;1302.827088;5396.218017
279.9676689;237.8323322;206.7880119;222.5507924;193.8946126;273.8806333;688.3400851;1387.720651;1781.802536;1381.03571;784.3011577;445.0057058;1414.914051;6468.205846
335.5847571;285.0790084;247.8675664;224.1486;202.7354;345.462;679.104;1036.386;1324.512;998.894;551.668;349.92;1640.877332;4940.484
266.7288;238.2048;189.6024;168.9818;151.1875;209.9552;448.416;1132.794;1423.008;990.86;621.296;373.248;1224.6605;4989.622
251.9998;207.36;224.1486;174.8734;195.6971;253.8744;655.776;1189.032;2262.816;1804.972;996.216;458.784;1307.9533;7367.596
318.682;236.3904;220.1316;185.8532;159.8959;236.1996;440.64;1073.878;1482.624;1381.848;790.01;375.84;1357.1527;5544.84
275.834;222.3936;196.5652;171.1242;150.36;163.6258;422.496;1060.488;1264.896;779.298;444.548;290.304;1179.9028;4262.03
218.7926;185.8464;159.0732;141.934;127.4813;150.2358;274.752;760.552;909.792;706.992;396.344;274.752;983.3633;3323.184
186.9244;153.4464;132.2932;146.2188;140.5439;153.7172;458.784;998.894;679.104;567.736;415.09;226.2816;913.1439;3345.8896
181.5684;132.4512;121.0456;117.832;109.8226;148.8968;290.304;1036.386;1054.944;739.128;452.582;257.6448;811.6166;3830.9888
193.3516;166.4064;138.4526;130.9542;129.3096;157.1986;386.208;709.67;1226.016;768.586;471.328;269.568;915.673;3831.376
240.2166;209.6928;165.5004;156.663;146.1076;318.682;800.928;1665.716;1612.224;886.418;551.668;316.224;1236.8624;5833.178
255.4812;227.0592;213.4366;170.8564;134.4964;299.936;624.672;1371.136;1643.328;1223.846;610.584;336.96;1301.2658;5810.526
226.5588;179.1072;138.9882;171.1242;147.559;169.5174;355.104;875.706;1407.456;1162.252;538.278;311.04;1032.8548;4649.836
270.478;219.8016;205.6704;194.6906;166.1478;244.7692;440.64;921.232;943.488;816.79;506.142;292.896;1301.5576;3921.188
218.5248;186.8832;177.8192;166.036;135.9478;194.4228;544.32;990.86;1381.536;1095.302;605.228;344.736;1079.6338;4961.982
259.4982;218.5056;200.3144;182.104;168.6043;229.7724;953.856;1438.086;1384.128;1022.996;621.296;362.88;1258.7989;5783.242
273.156;253.7568;234.0572;209.6874;169.8138;247.1794;469.152;846.248;1091.232;913.198;546.312;336.96;1387.6506;4203.102
239.4132;269.568;207.8128;191.477;164.143;207.8128;640.224;1555.918;1692.576;1671.072;800.722;404.352;1280.2268;6764.864
281.19;215.6544;197.1008;177.2836;149.2523;204.867;559.872;1550.562;1822.176;1582.698;779.298;417.312;1225.3481;6711.918
299.936;232.7616;189.8702;178.3548;147.0752;201.9212;295.488;958.724;1194.912;827.502;543.634;308.448;1249.919;4128.708
227.0944;187.6608;166.8394;145.1476;121.9176;182.9074;399.168;905.164;930.528;980.148;591.838;303.264;1031.5672;4110.11
361.53;381.024;261.6406;211.2942;195.2174;242.8946;948.672;1467.544;1910.304;1807.65;1031.03;476.928;1653.6008;7642.128
313.326;232.7616;203.2602;177.5514;158.6864;310.648;484.704;1561.274;1824.768;1247.948;632.008;388.8;1396.2336;6139.502
297.258;255.312;234.5928;207.0094;172.2328;265.3898;769.824;1242.592;1410.048;1435.408;974.792;456.192;1431.7948;6288.856
297.258;218.7648;186.9244;164.4292;140.5439;199.2432;360.288;910.52;1368.576;862.316;637.364;313.632;1207.1635;4452.696
226.0232;186.624;172.731;145.951;124.7988;178.6226;570.24;1194.388;1122.336;1189.032;575.77;344.736;1034.7506;4996.502
237.003;182.2176;153.985;141.1306;112.2416;162.019;259.2;482.04;953.856;688.246;444.548;259.2;988.5968;3087.09
213.9722;181.44;163.6258;148.0934;132.0774;252.8032;904.608;1314.898;1980.288;1909.414;867.672;445.824;1092.012;7422.704
294.58;219.5424;203.7958;175.6768;144.8981;219.8638;1106.784;1510.392;1783.296;1521.104;918.554;528.768;1258.3569;7368.898
348.14;279.936;245.5726;213.7044;210.7546;252.8032;546.912;1644.292;2166.912;1829.074;886.418;482.112;1550.9108;7555.72
326.716;251.6832;212.3654;179.426;145.14;192.816;370.656;899.808;821.664;666.822;498.108;311.04;1308.1466;3568.098
228.4334;183.2544;168.4462;159.341;137.3992;215.8468;393.984;720.382;1223.424;1036.386;575.77;342.144;1092.721;4292.09
243.698;226.2816;193.8872;178.3548;169.5719;246.1082;730.944;1017.64;1625.184;1079.234;602.55;349.92;1257.9017;5405.472
260.8372;229.9104;210.4908;186.9244;156.3744;275.834;570.24;1146.184;1573.344;1347.034;701.636;381.024;1320.3712;5719.462
270.478;213.0624;186.9244;160.9478;135.9478;170.8564;287.712;835.536;782.784;597.194;439.192;245.4624;1138.2168;3187.8804
264.0508;316.224;223.8808;187.7278;179.4898;302.614;611.712;1223.846;1848.096;1194.388;709.67;399.168;1473.9872;5986.88
275.834;196.4736;186.3888;163.8936;134.9802;192.2804;463.968;894.452;1340.064;886.418;551.668;342.144;1149.8506;4478.714
278.512;223.1712;194.6906;172.1954;148.3552;266.7288;663.552;1111.37;1674.432;1446.12;760.552;357.696;1283.6532;6013.722
264.8542;237.168;212.0976;174.8734;142.4791;390.988;946.08;2222.74;2900.448;2407.522;1258.66;635.04;1422.4603;10370.49
492.752;438.048;334.75;316.004;251.576;266.9966;619.488;1049.776;1319.328;907.842;642.72;401.76;2100.1266;4940.914
286.546;226.0224;189.8702;169.5174;146.1076;266.1932;611.712;996.216;1529.28;889.096;570.414;321.408;1284.2568;4918.126
216.1146;179.1072;156.1274;140.3272;125.0494;161.4834;430.272;1006.928;1420.416;1247.948;658.788;365.472;978.2092;5129.824
266.461;227.0592;191.7448;157.4664;135.464;190.4058;559.872;1175.642;1899.936;1036.386;599.872;316.224;1168.6012;5587.932
234.5928;189.4752;165.7682;151.5748;131.5936;161.7512;295.488;637.364;902.016;637.364;390.988;234.8352;1034.7558;3098.0552
191.7448;150.8544;130.9542;125.0626;106.9198;149.1646;476.928;653.432;959.04;672.178;439.192;257.1264;854.7004;3457.8964
185.8532;146.9664;135.239;120.51;103.7484;115.9574;453.6;966.758;1099.008;768.586;492.752;287.712;808.2744;4068.416
234.325;205.2864;165.5004;142.4696;121.9176;200.85;487.296;706.992;1205.28;781.976;439.192;300.672;1070.349;3921.408
263.2474;245.4624;201.3856;173.5344;145.8657;195.7618;710.208;1172.964;1461.888;1266.694;613.262;375.84;1225.2573;5600.856
246.376;248.832;208.884;184.5142;161.1054;207.2772;896.832;1277.406;1879.2;1582.698;747.162;355.104;1256.9888;6738.402
260.0338;206.064;183.9786;166.8394;153.3672;187.1922;635.04;1122.082;1264.896;926.588;516.854;324;1157.4752;4789.46
235.664;206.3232;177.5514;162.8224;134.9802;213.4366;484.704;1170.286;1044.576;1100.658;554.346;326.592;1130.7778;4681.162
242.8946;184.8096;163.358;148.629;127.7232;157.7342;461.376;814.112;622.08;527.566;404.378;240.5376;1025.1486;3070.0496
226.291;197.2512;171.392;156.1274;132.0774;160.68;352.512;736.45;974.592;883.74;559.702;295.488;1043.819;3802.484
216.918;186.8832;168.4462;140.3272;123.2952;192.0126;487.296;897.13;1591.488;1004.25;559.702;292.896;1027.8824;4832.762
218.5248;189.216;171.392;154.2528;157.235;204.5992;666.144;1317.576;1581.12;1041.742;519.532;292.896;1095.2198;5419.01
228.4334;182.9952;171.1242;148.629;126.2718;148.8968;362.88;720.382;979.776;776.62;433.836;277.344;1006.3504;3550.838
227.63;180.4032;180.4972;156.1274;147.3171;247.715;686.88;1440.764;1759.968;1574.664;862.316;412.128;1139.6899;6736.72
297.258;241.056;193.0838;160.4122;144.5962;179.426;562.464;1044.42;1570.752;1108.692;562.38;339.552;1215.8322;5188.26
239.9488;201.3984;177.2836;186.3888;130.3841;174.8734;300.672;693.602;1166.4;873.028;498.108;303.264;1110.2771;3835.074
243.9658;199.3248;223.0774;166.3038;143.9305;240.2166;544.32;1641.614;1977.696;1079.234;634.686;365.472;1216.8189;6243.022
281.19;236.1312;192.0126;170.053;141.0277;183.9786;419.904;650.754;1150.848;937.3;514.176;321.408;1204.3931;3994.39
238.6098;177.8112;158.8054;136.0424;126.0518;152.1104;523.584;996.216;1306.368;1207.778;538.278;344.736;989.431;4916.96
253.3388;201.6576;178.3548;134.4356;161.5892;193.6194;557.28;1333.644;1845.504;1384.526;623.974;370.656;1122.9954;6115.584
245.037;290.304;214.7756;191.477;146.8333;246.1082;614.304;1456.832;1749.6;1312.22;696.28;425.088;1334.5351;6254.324
286.546;344.736;310.648;229.7724;189.6496;240.7522;438.048;1106.014;1101.6;883.74;567.736;334.368;1602.1042;4431.506
270.478;210.2112;187.46;160.4122;147.6034;167.375;508.032;921.232;1480.032;1194.388;658.788;347.328;1143.5398;5109.8
273.156;214.6176;183.9786;168.4462;145.14;190.9414;585.792;996.216;1303.776;918.554;506.142;316.224;1176.2798;4626.704
232.7182;189.216;167.375;155.9001758;146.095505;217.8934412;885.168;1474.15866;1832.6304;1698.73574;849.3074121;479.52;1109.198322;7219.520212
334.8311515;236.71008;210.9995388;187.6093188;174.6215625;216.6404618;438.77376;1178.5878;1271.7216;1236.213491;702.6260485;395.9712;1361.412113;5223.893899
272.0295257;231.0888854;200.9247891;192.8448;171.2448;215.8272;511.488;1107.1296;831.168;610.5024;441.8496;308.448;1283.96;3810.5856
329.184;276.48;235.44;215.0496;170.7264;297.0432;668.736;1340.064;1401.408;734.4;488.0736;356.832;1523.9232;4989.5136
316.1376;298.944;231.984;219.2832;179.712;333.072;981.504;1146.4416;1725.408;1576.6272;995.8464;510.624;1579.1328;6936.4512
378.6048;271.296;229.6512;208.0512;176.7744;267.84;775.008;1303.1712;1888.704;1367.712;641.2608;382.752;1532.2176;6358.608
290.4768;248.832;237.5136;209.2608;194.832;308.3616;770.688;1277.1648;1336.608;976.2336;574.4736;362.88;1489.2768;5298.048
289.7856;241.92;229.3056;200.7072;171.7632;471.312;798.336;1398.6432;1849.824;1149.984;610.6752;393.12;1604.7936;6200.5824
278.4672;208.224;196.7328;177.4656;213.5808;266.0256;670.464;1340.6688;1152.58;782.78;513.39;295.49;1340.496;4755.3728
302.83;298.08;227.06;189.9877507;172.084608;307.26;1026.1;1491.6;1629;1098;607.31;368.84;1497.302359;6220.85
272.6352;231.21504;206.09856;188.352;176.991264;300.1968;431.8272;995.50512;984.7008;574.4736;429.33888;270;1375.488864;3685.8456
227.58624;242.8704;206.69472;185.94144;171.853056;339.553728;672;1196;1664;1497.23;856.91;462.37;1374.499584;6348.51
371;269;232.4;220.46;234.03;532.48;1093.56;1738.45;1911.86;1454.98;791.16;451.27;1859.37;7441.28
323.2;263.8;224.6;193.1;171.9;224.71;598.49;1055.64;973.04;680.48;479.87;320.47;1401.31;4107.99
231.57832;217.53272;200.35328;183.835744;162.1;212.459328;947.2;1242.17;1474.07;1025.91;573;355.19;1207.859392;5617.54
258.105312;200.73312;172.0656;164.526336;157.866624;425.86;687.95136;1005.266592;1372.9392;869.195232;596.915136;365.16096;1379.156992;4897.42848
254.186208;203.71392;195.105888;173.971584;147.716352;219.888;489.29184;1496.314944;1331.44992;774.271008;438.759936;297.9072;1194.581952;4827.994848
280.730016;253.7136;220.148928;208.95408;201.928896;267.920352;611.27136;1214.12736;1331.31168;920.82096;480.23712;298.58976;1433.395872;4856.35824
285.261696;294.46848;294.634368;240.63264;211.051008;395.704224;637.13952;1303.273152;1587.70368;1071.570816;627.236352;403.6176;1721.752416;5630.54112
345.050496;262.27584;270.551232;230.99904;230.228352;332.20368;1052.16192;2140.632576;2016.13536;1500.857856;816.910272;528.62112;1671.30864;8055.319104
420.286752;268.67808;208.823616;195.809184;169.869312;379.569888;691.53696;1042.61472;1171.12608;822.72672;366.181344;258.8544;1643.036832;4353.040224
251.46288;224.00928;213.0192;189.47952;142.891776;270.147744;826.0704;1274.837184;1502.8416;1199.47392;582.553728;369.0792;1291.0104;5754.856032
283.021344;229.02912;198.942912;184.996224;175.263264;293.541408;534.6432;963.188928;1004.89248;710.767872;509.088672;318.70368;1364.794272;4041.284832
212.269248;169.70688;152.095104;138.78864;141.469632;148.742784;389.49984;1058.20992;896.7888;524.463552;353.693952;298.728;963.072288;3521.384064
186.5808;158.1552;143.872416;138.912192;121.27968;261.252;688.87584;1044.47664;994.0752;755.726112;407.914272;289.19808;1010.052288;4180.266144
231.257376;212.40576;198.113472;179.419104;168.09984;346.67136;592.7904;873.420192;1074.0384;625.192992;384.396192;283.59072;1335.966912;3833.428896
